target,mae,rmse,relative_rmse_std,mean_predictive_std,max_predictive_std,abs_error_uncertainty_corr
u_r,0.0003017323570309774,0.00044314576077614747,0.2295018219223406,8.109223748172569e-05,0.00010915515604138991,0.10275781038313345
u_z,0.00042775978337400146,0.0007297565413803732,0.41459451617603904,5.759058707026704e-05,7.752048424594135e-05,0.057053673769229866
u_swirl,0.0007774817754404988,0.0015418088763220733,0.02932723874667337,0.0008017387391419228,0.0010791898200513362,0.13420144717518556
p,0.36860190662752534,0.4330425100687378,0.11999780977774367,0.06453012786449865,0.08686153441021438,-0.08707690510543219
T,1.1912944550694133,1.7997748427160365,0.09580567220829407,0.2155681598974995,0.29016804643563404,-0.06155563311177766
