target,mae,rmse,relative_rmse_std,mean_predictive_std,max_predictive_std,abs_error_uncertainty_corr
u_r,0.00013077719147951624,0.0001887304235028604,0.07652858289852046,5.064989925902527e-05,6.99441435423994e-05,0.29357671848380235
u_z,0.00017335044243002465,0.0002894820722712975,0.1345501304213273,3.8325493189530796e-05,5.292495811833485e-05,0.2296052146720184
u_swirl,0.0007737627014873364,0.001784338536162168,0.026969650221499275,0.0010733957513812484,0.0014822881705738756,0.3641488742992231
p,0.05180614857835065,0.08129307877110259,0.01839104974817227,0.11545296213620437,0.15943286510310192,0.36368603918995424
T,0.631297374393302,1.1670062928181937,0.0633533978813972,0.21410323742862652,0.29566233676036063,0.3507872529372185
