target,mae,rmse,relative_rmse_std,mean_predictive_std,max_predictive_std,abs_error_uncertainty_corr
u_r,0.00022517256229578246,0.000324412211401657,0.14374493833271115,3.875183379053442e-05,6.745580108704423e-05,0.42031614475228135
u_z,0.0003549877995826909,0.0005575565130036057,0.2785049559083669,3.9006674866548555e-05,6.789940613101035e-05,0.4797516102669704
u_swirl,0.0008490145508653493,0.0017170780601000108,0.030823442827332053,0.0008905659185258208,0.0015502192174877754,0.08046546665170344
p,0.09175583472557336,0.12529513766719277,0.019835324508670257,0.08092928252697049,0.14087461289612532,0.3194128499667822
T,1.1219066646340992,1.6823289969388024,0.056074671904773755,0.4091525315631512,0.7122169219802459,0.2285514137734639
